Player Name,Runs,Fours,Sixes,Wickets,Balls Bowled,Bowls faced,Matches played
JM Bairstow,19,2,0,0,0,25,3
DJ Malan,591,60,15,0,0,627,9
JE Root,39,3,1,0,25,65,4
HC Brook,123,10,4,0,0,156,6
MM Ali,209,18,8,6,364,213,9
JC Buttler,548,42,16,0,0,511,10
LS Livingstone,186,12,5,3,123,175,4
SM Curran,177,8,11,10,333,166,8
CR Woakes,71,5,0,3,275,95,6
AU Rashid,56,3,1,13,378,72,7
MA Wood,0,0,0,1,77,0,2
RJW Topley,1,0,0,4,271,1,6
DP Conway,449,50,11,0,0,478,10
WA Young,552,66,6,0,0,674,13
R Ravindra,140,15,4,7,403,120,10
DJ Mitchell,605,42,13,3,178,656,15
TWM Latham,410,30,1,0,0,534,15
GD Phillips,254,17,8,2,152,298,10
MS Chapman,118,11,5,0,0,105,5
JDS Neesham,28,2,0,0,69,26,2
MJ Santner,195,18,4,4,372,201,7
MJ Henry,13,1,0,7,514,13,9
TA Boult,4,0,0,7,186,9,4
Abdullah Shafique,78,3,3,0,0,109,3
Imam-ul-Haq,448,32,6,0,0,591,11
Babar Azam,745,65,10,0,0,886,15
Mohammad Rizwan,628,57,7,0,0,687,15
Saud Shakeel,9,2,0,0,0,6,1
Iftikhar Ahmed,348,32,8,2,148,315,8
Shadab Khan,138,9,3,6,552,139,11
Mohammad Nawaz,72,6,2,7,458,76,10
Hasan Ali,0,0,0,0,0,0,0
Shaheen Shah Afridi,39,1,4,13,616,30,12
Haris Rauf,6,0,0,16,610,16,13
Vikramjit Singh,427,51,6,2,182,527,12
MP O'Dowd,422,48,7,0,0,551,12
CN Ackermann,87,6,0,0,104,254,2
BFW de Leede,285,22,6,1,366,574,7
AT Nidamanuru,360,28,9,0,0,367,11
SA Edwards,402,36,4,0,0,756,11
SA Engelbrecht,0,0,0,0,0,0,0
LV van Beek,105,8,5,3,452,85,8
RE van der Merwe,0,0,0,0,0,0,0
A Dutt,54,3,2,3,566,79,11
PA van Meekeren,33,2,2,1,198,28,4
Rahmanullah Gurbaz,376,35,11,0,0,478,11
Ibrahim Zadran,478,48,8,0,0,599,11
Rahmat Shah,186,18,1,1,8,261,9
Hashmatullah Shahidi,270,28,1,0,0,368,11
Azmatullah Omarzai,102,8,4,2,190,123,6
Ikram Alikhil,4,1,0,0,0,9,1
Mohammad Nabi,185,16,6,7,475,187,11
Rashid Khan,77,9,3,5,438,65,8
Mujeeb Ur Rahman,88,9,5,11,610,96,11
Naveen-ul-Haq,0,0,0,0,0,0,0
Fazalhaq Farooqi,12,2,0,9,493,34,11
Tanzid Hasan,34,7,0,0,0,31,4
Liton Das,338,33,10,0,0,394,16
Mehedi Hasan Miraz,290,25,3,7,549,395,15
Nazmul Hossain Shanto,698,71,7,0,38,826,14
Shakib Al Hasan,549,59,4,5,675,612,15
Mushfiqur Rahim,595,49,10,0,0,663,15
Towhid Hridoy,518,41,9,0,0,606,15
Mahmudullah,141,12,2,0,48,211,6
Taskin Ahmed,55,5,2,13,508,75,11
Mustafizur Rahman,13,1,0,5,512,40,11
Shoriful Islam,31,2,1,8,365,43,8
Q de Kock,343,44,9,0,0,383,10
RR Hendricks,119,14,0,0,0,142,3
HE van der Dussen,349,32,5,0,0,420,11
AK Markram,577,53,20,2,281,489,11
H Klaasen,527,47,25,0,0,350,10
DA Miller,434,29,19,0,0,372,10
M Jansen,249,22,10,10,548,217,11
G Coetzee,3,0,0,1,301,12,6
KA Maharaj,2,0,0,2,249,7,5
K Rabada,20,0,2,6,272,24,5
L Ngidi,18,1,1,4,398,40,8
MR Marsh,417,53,22,0,0,348,10
DA Warner,390,45,14,0,0,331,9
SPD Smith,137,15,2,0,0,158,5
M Labuschagne,464,52,3,0,19,511,10
JP Inglis,128,12,4,0,0,127,6
GJ Maxwell,13,1,0,3,73,19,2
MP Stoinis,104,16,1,5,293,92,6
MA Starc,15,1,1,9,226,23,4
PJ Cummins,40,3,1,1,109,32,2
A Zampa,31,4,0,11,464,43,9
JR Hazlewood,36,5,2,7,294,24,5
RG Sharma,658,65,36,0,0,621,15
Shubman Gill,1230,140,29,0,0,1202,20
V Kohli,612,54,15,0,0,552,13
SS Iyer,264,24,7,0,6,242,7
KL Rahul,531,46,9,0,0,624,12
SA Yadav,283,27,12,0,0,254,13
RA Jadeja,189,13,1,4,586,308,14
Mohammed Shami,26,2,1,11,520,23,12
JJ Bumrah,26,4,0,7,230,38,6
Kuldeep Yadav,42,3,0,12,676,107,17
Mohammed Siraj,17,0,0,12,553,45,14
P Nissanka,810,110,3,0,0,958,19
MDKJ Perera,17,4,0,0,0,11,2
BKG Mendis,599,62,8,0,0,718,20
S Samarawickrama,477,46,2,0,0,527,13
KIC Asalanka,511,45,9,3,55,599,17
AD Mathews,12,0,0,0,0,30,2
MADI Hemantha,35,2,2,0,116,40,3
PVD Chameera,0,0,0,5,99,0,2
M Theekshana,89,4,1,12,737,149,15
CAK Rajitha,51,5,0,11,647,105,14
D Madushanka,1,0,0,4,228,5,5
Saqib Zulfiqar,111,9,4,1,209,101,6
